timestamp_s,cpu_pct,pss_kb,java_heap_kb
1,98.13,155841,236988
2,9.35,128385,236576
3,41.51,130008,236848
4,6.60,128552,237064
5,36.45,130499,237240
6,7.55,128837,237536
7,30.84,132495,237828
8,17.92,130365,238192
9,162.26,135917,244108
10,53.33,135511,241340
11,25.23,134089,241396
12,21.70,132221,241724
13,18.87,132841,242108
14,23.58,132669,242176
15,12.15,132305,241944
16,30.48,133469,242232
17,34.29,133413,241932
18,40.57,133333,242496
19,34.91,138725,245248
20,35.85,135985,246276
21,42.45,137247,244360
22,6.48,133427,244312
23,107.48,151538,251664
24,66.04,150884,247628
25,48.15,139698,246484
26,33.96,138100,247460
27,39.62,138734,247300
28,33.96,137996,247372
29,33.96,138486,247612
30,34.91,136402,246116
31,42.45,136858,246212
32,34.91,137466,246264
33,27.36,136474,245944
34,37.74,137606,247168
35,144.86,145086,248464
36,33.96,142542,247652
37,14.95,138994,248000
38,26.17,137430,247096
39,6.54,137442,247360
40,24.53,137190,247172
41,5.61,136714,246668
42,11.32,137301,246732
43,37.38,138440,246924
44,6.54,136294,247512
45,23.36,138284,247768
46,7.48,136958,247636
47,28.30,138704,247844
48,9.43,138212,248060
49,74.07,145245,252192
50,61.32,153284,250048
51,28.30,141641,249824
52,36.79,141709,249976
53,23.36,140073,249664
54,22.64,139873,250268
55,15.89,140597,250292
56,29.91,141349,250344
57,27.52,139917,250164
58,40.95,141489,251208
59,26.42,140333,251432
60,34.91,141629,251960
61,37.96,141029,252040
62,23.64,141058,251172
63,75.47,151727,253696
64,37.04,147941,252336
65,44.34,145527,252744
66,29.52,143837,252616
67,30.48,142227,252072
68,36.70,145111,252488
69,28.57,142015,252208
70,35.85,141867,252368
71,37.74,144747,252444
72,22.43,142035,252260
73,12.26,142319,252512
74,24.53,142863,252252
75,94.34,149823,252908
76,51.89,150987,252564
77,18.69,143011,252152
78,33.02,142791,253308
79,11.11,143011,252580
80,20.56,142306,252728
81,8.57,142919,252912
82,8.57,142050,252452
83,22.43,141835,252224
84,11.32,142710,253124
85,20.00,142567,252948
86,17.14,143074,253524
87,14.95,142391,252888
88,15.09,142105,253200
89,64.49,146383,262260
90,32.08,156251,254372
