timestamp_s,cpu_pct,pss_kb,java_heap_kb
1,65.42,155992,232480
2,25.71,126322,231892
3,30.84,127140,231844
4,0.00,125291,233020
5,24.30,126602,232376
6,0.94,125353,232400
7,20.75,126682,232572
8,4.76,126089,232904
9,64.76,132748,236448
10,8.57,130435,235644
11,17.92,129636,235308
12,9.43,128007,235164
13,14.15,128436,235424
14,7.62,128208,236224
15,12.26,128337,236408
16,9.52,128524,236536
17,12.26,128717,236436
18,8.49,128432,236596
19,12.26,129001,236708
20,11.43,128983,237620
21,7.62,128839,237652
22,0.00,128675,237476
23,18.87,132475,237924
24,67.92,146371,238336
25,22.86,135930,239608
26,9.35,131954,239588
27,27.36,132630,239960
28,25.47,132366,240156
29,31.13,133338,240344
30,30.19,132334,240436
31,35.24,131740,239080
32,0.00,130108,238816
33,29.52,131104,239100
34,0.00,130000,239072
35,43.93,138480,242700
36,23.36,145128,240108
37,45.79,134456,241216
38,2.78,132132,239748
39,20.56,133062,239828
40,3.77,131758,239984
41,10.48,131565,239992
42,0.00,131402,239836
43,10.38,132062,239996
44,7.48,131738,239832
45,11.43,132153,240204
46,6.48,131717,239952
47,14.15,132837,240504
48,4.63,131733,240536
49,15.24,132125,241020
50,54.72,140249,244724
51,47.17,138573,244040
52,37.38,135109,243676
53,31.43,135381,243880
54,26.42,134677,243732
55,35.85,135741,243920
56,24.53,135097,243888
57,38.32,137093,244112
58,27.36,135417,243516
59,28.30,135221,243472
60,0.00,133461,243404
61,18.10,133829,243576
62,1.85,133953,243464
63,0.94,133617,243416
64,47.17,137141,245232
65,31.43,142832,248276
66,30.19,137797,245160
67,5.71,135641,244840
68,14.02,135693,244776
69,6.67,135101,245116
70,12.04,135409,244856
71,11.43,135788,246400
72,23.58,136817,245400
73,26.42,136561,245768
74,26.42,136621,245684
75,25.71,136381,245748
76,53.77,141321,246712
77,40.95,148105,246156
78,25.93,142445,245496
79,20.00,137221,245588
80,2.83,136417,245396
81,16.19,136489,245764
82,0.00,137619,245872
83,0.00,137487,245884
84,25.47,138775,245988
85,0.00,137587,246192
86,22.64,138858,246132
87,0.00,138014,246308
88,18.87,144078,246308
89,0.00,139110,246648
90,16.98,139258,246644
