timestamp_s,cpu_pct,pss_kb,java_heap_kb
1,68.87,161172,234064
2,28.57,129511,233964
3,34.91,131715,234408
4,6.54,128976,234976
5,28.30,130815,235932
6,6.67,130154,235676
7,22.86,131051,235516
8,12.38,131454,236216
9,107.55,134775,239292
10,11.43,134826,239060
11,20.95,135203,239424
12,17.76,132734,238388
13,20.00,133619,239060
14,14.15,132551,239764
15,14.95,132624,239364
16,21.50,133528,239728
17,15.74,134904,239576
18,16.04,134304,239692
19,12.96,134364,240188
20,19.05,133593,241176
21,8.41,133785,241704
22,7.48,133769,241152
23,33.64,142937,248728
24,47.17,157673,242312
25,42.06,142166,243864
26,5.61,136258,243612
27,36.19,138678,244552
28,25.23,136894,243976
29,38.10,139598,245076
30,23.58,137269,244720
31,21.70,135614,242548
32,12.15,135545,242868
33,19.63,135166,242640
34,10.38,135735,242848
35,73.58,150042,243168
36,23.81,138785,242948
37,32.41,138914,242468
38,18.10,136458,242564
39,14.15,136974,242880
40,15.24,137290,243472
41,7.62,136550,242972
42,8.57,137130,242812
43,21.90,137082,243380
44,6.54,136314,243300
45,24.53,138247,244416
46,8.49,136515,243884
47,26.42,137479,244328
48,6.54,137587,244708
49,31.13,138808,244616
50,70.48,146388,246112
51,43.40,142972,245648
52,9.35,138616,244924
53,39.05,141824,245832
54,26.67,139140,245600
55,46.23,140752,245956
56,37.74,141455,246344
57,36.19,142032,246148
58,28.30,140863,246440
59,17.59,139864,245540
60,12.38,138652,245812
61,11.32,139856,246408
62,7.55,139196,245872
63,16.19,140220,246688
64,46.67,151312,249064
65,38.68,146544,248172
66,23.36,143432,248308
67,22.86,141260,247832
68,9.43,140364,247936
69,23.81,141800,248560
70,7.34,140384,248268
71,24.76,143980,248868
72,24.76,141092,248716
73,35.24,142752,248628
74,25.47,142336,248788
75,43.40,145756,250048
76,47.62,148308,248928
77,45.28,152348,248760
78,7.55,142763,248056
79,23.36,143316,249368
80,11.32,142225,248620
81,12.26,141609,248496
82,8.41,142513,248212
83,16.98,141997,247964
84,12.15,142953,248620
85,21.10,142441,248928
86,9.35,141621,248328
87,24.53,148497,249152
88,11.11,141977,248816
89,23.81,142813,248888
90,79.25,149913,253244
