timestamp_s,cpu_pct,pss_kb,java_heap_kb
1,396.58,197606,270628
2,91.23,188334,270356
3,0.00,182380,270044
4,65.81,183488,270944
5,29.57,183177,271044
6,0.00,182656,271064
7,22.41,182808,271656
8,56.52,182340,271084
9,2.65,182301,271324
10,5.04,182276,271268
11,42.74,182384,271140
12,28.95,182427,271148
13,0.00,182297,271268
14,24.14,182473,271324
15,0.00,182345,271412
16,22.61,182464,271292
17,52.17,182505,271160
18,0.00,182433,271304
19,8.33,182433,271212
20,46.55,182391,271352
21,26.09,182426,271380
22,0.00,182295,271488
23,23.28,182430,271372
24,46.15,182467,271480
25,0.00,182387,271492
26,11.21,182383,271412
27,43.10,182462,271488
28,19.30,182475,271464
29,0.00,182350,271432
30,15.38,182459,271720
31,0.00,182179,271740
32,27.59,181783,271968
33,41.23,179946,271804
34,0.00,179831,271956
35,14.53,179775,271812
36,40.00,179622,271888
37,5.26,179614,272084
38,2.52,179536,271968
39,22.12,179623,271712
40,7.08,178669,269424
41,3.45,178558,269132
42,23.01,178561,268820
43,5.26,178362,268632
44,2.56,178281,268584
45,0.88,178721,268552
46,9.48,178700,268468
47,44.44,178748,268532
48,20.87,178760,268544
49,0.00,178640,268480
50,22.88,178760,268536
51,41.74,178780,268392
52,0.00,178681,268844
53,14.41,178744,268956
54,43.10,178780,268804
55,16.67,178784,268824
56,0.00,178664,268812
57,30.51,178792,268904
58,37.39,178820,268756
59,0.00,178656,268748
60,32.46,178828,268812
61,0.00,178717,268972
62,18.97,178832,268904
63,43.10,178856,268760
64,2.63,178801,268924
65,8.47,178784,268860
66,38.14,178868,268716
67,19.30,178872,268696
68,0.00,178748,268904
69,23.93,178872,269040
70,37.93,178896,269112
71,0.00,178797,269132
72,13.56,178844,269016
73,43.48,178896,269052
74,0.00,178752,269036
75,41.23,178896,269140
76,0.88,178837,269212
77,10.34,178840,269308
78,41.38,178936,269180
79,11.86,178928,269180
80,0.81,178820,269132
81,33.61,178932,269212
82,37.19,178972,269084
83,1.71,178893,269316
84,7.63,178884,269220
85,38.33,178948,269060
86,24.58,178980,269156
87,0.00,178881,269140
88,10.08,178908,269056
89,5.26,178921,269188
90,6.72,178896,269100
