timestamp_s,cpu_pct,pss_kb,java_heap_kb
1,347.41,207417,266620
2,99.17,178597,268528
3,132.17,181841,271844
4,79.13,181663,271760
5,91.53,181230,271892
6,168.42,198749,276496
7,124.11,189881,276320
8,106.03,187679,276112
9,94.69,188774,277648
10,89.57,190054,280212
11,23.58,189518,281288
12,192.98,212176,284756
13,120.18,203890,284276
14,31.15,192958,285184
15,116.81,197272,286264
16,97.37,195273,286108
17,122.12,200030,289208
18,125.44,200552,290188
19,176.52,214119,290748
20,120.69,206448,292916
21,106.96,204082,294364
22,52.89,204399,294572
23,86.61,204793,295116
24,69.64,205658,297372
25,135.29,225090,298692
26,119.82,211691,300140
27,83.19,209881,301300
28,33.90,208637,301624
29,72.41,210955,302864
30,93.97,213652,305888
31,100.85,222553,304332
32,76.11,213296,304076
33,32.52,211933,304856
34,72.81,213691,305136
35,100.88,214649,306556
36,96.52,214275,306980
37,160.18,234548,309672
38,124.56,226321,310636
39,50.86,217885,311356
40,64.04,219052,310964
41,99.14,220384,312680
42,31.30,219061,313516
43,106.84,230260,314664
44,110.43,226485,313804
45,63.16,222944,315296
46,49.59,223455,315100
47,43.10,223950,316268
48,76.27,223681,315952
49,141.88,237440,319936
50,128.95,240191,319192
51,40.65,227420,319712
52,111.40,230693,320652
53,121.05,231768,322016
54,100.85,231659,323976
55,145.22,248125,327228
56,126.55,243166,326832
57,109.65,235338,328664
58,42.62,236137,329060
59,100.87,237652,330120
60,50.85,237044,331944
61,148.74,255814,332192
62,68.97,240411,332796
63,84.48,239602,332748
64,95.58,240710,333484
65,60.00,241798,335644
66,84.87,242737,335268
67,137.72,257870,336948
68,134.23,259805,338112
69,103.39,246450,338004
70,107.02,247970,339372
71,115.65,248033,340484
72,26.89,245598,341680
73,124.56,259135,341248
74,121.93,256174,341724
75,31.58,249512,341624
76,50.43,249683,341884
77,17.95,249257,343240
78,94.74,251996,344444
79,140.87,268039,354516
80,126.32,274028,347932
81,47.01,255551,346376
82,114.91,256691,347368
83,116.07,256430,350184
84,36.13,256443,350016
85,131.58,270638,368904
86,77.68,281750,352224
87,32.48,261325,352540
88,78.07,263033,352620
89,63.39,260745,353304
90,20.18,258756,353412
