timestamp_s,cpu_pct,pss_kb,java_heap_kb
1,396.49,185811,252544
2,120.18,173677,252400
3,50.43,170021,251376
4,58.62,168417,251804
5,25.00,168291,251816
6,0.00,168189,251904
7,28.21,168273,251812
8,49.57,167713,251092
9,0.81,167571,251304
10,13.91,167613,251208
11,51.72,167729,251164
12,21.55,167757,251152
13,0.00,167632,251360
14,24.79,167760,251228
15,0.00,167628,251220
16,27.59,167769,251360
17,43.97,167813,251228
18,0.00,167711,251284
19,13.79,167781,251180
20,51.33,167976,251648
21,13.79,167988,251684
22,0.00,167884,251780
23,31.90,168012,251648
24,33.62,168036,251756
25,0.00,167940,251752
26,15.38,168004,251796
27,43.10,168060,251700
28,2.61,168022,251700
29,5.04,167996,251860
30,3.48,168022,251868
31,5.08,167988,251956
32,40.17,167807,251820
33,26.09,165970,252124
34,0.00,165718,252140
35,25.22,165339,251920
36,38.46,165383,251816
37,0.00,165297,252048
38,11.86,165327,251944
39,44.44,165379,252032
40,12.28,165379,251800
41,1.61,165219,251952
42,27.12,165331,251812
43,30.77,165359,251936
44,0.00,165179,251932
45,28.70,165359,251792
46,0.00,165218,251840
47,18.97,165331,251904
48,41.38,165363,251760
49,3.45,165325,251732
50,6.72,165287,251664
51,37.93,165367,251792
52,23.68,165387,251804
53,0.00,165255,251764
54,22.61,165379,251776
55,37.61,165415,251888
56,0.00,165341,251924
57,11.02,165423,251884
58,38.98,165487,251964
59,0.00,165351,251952
60,43.10,165503,251828
61,7.89,165489,251956
62,3.25,165415,251900
63,36.21,165523,251952
64,21.05,165543,251700
65,0.00,165411,251924
66,18.10,165527,251792
67,39.66,165559,251808
68,0.84,165473,252392
69,9.24,165495,252304
70,36.29,165559,253048
71,21.55,165587,253072
72,0.00,165486,253112
73,18.10,165619,252964
74,0.00,165478,253120
75,19.83,165607,252984
76,40.00,165651,252900
77,0.87,165605,252892
78,6.03,165567,253092
79,39.66,165663,252936
80,11.21,165655,252996
81,1.65,165559,252952
82,33.90,165671,253000
83,20.51,165687,253012
84,0.78,165549,253008
85,19.49,165667,252876
86,39.66,165679,252948
87,0.00,165629,252952
88,10.08,165619,252868
89,0.00,165625,252880
90,11.21,165639,252788
