timestamp_s,cpu_pct,pss_kb,java_heap_kb
1,252.14,204222,264520
2,100.82,185907,264028
3,114.53,184969,264240
4,105.17,185137,266892
5,48.25,185757,267732
6,268.91,199756,271408
7,127.59,195716,271268
8,131.67,196403,273792
9,2.34,190561,275300
10,29.51,192819,275444
11,112.07,195707,276456
12,45.22,194319,277288
13,96.67,194853,276916
14,150.00,205849,286624
15,96.55,209845,280652
16,100.00,201247,280712
17,111.21,201271,280700
18,100.86,200679,283236
19,85.83,201949,282824
20,125.42,204419,284672
21,122.41,204955,287348
22,210.83,236809,289392
23,112.93,210991,286792
24,110.17,206947,286448
25,116.95,206323,287632
26,88.24,206510,287856
27,107.76,209843,289700
28,116.24,210305,294044
29,138.46,224023,292228
30,113.56,215411,293568
31,106.90,212337,294336
32,18.40,211651,293860
33,72.41,214108,295408
34,92.50,215860,303388
35,121.37,227104,301176
36,102.52,223356,299848
37,94.78,219784,300968
38,121.55,220992,302656
39,107.50,220694,302464
40,53.04,219680,302448
41,83.33,220572,304680
42,155.36,252300,309648
43,106.90,230856,304480
44,77.19,223026,304824
45,72.41,223740,305148
46,106.25,225244,306356
47,18.42,222248,306380
48,3.23,221820,306212
49,146.43,246852,310388
50,107.83,233298,311576
51,80.80,229546,309516
52,81.90,228368,310124
53,113.04,229584,311004
54,107.02,228534,311896
55,79.13,229492,312404
56,147.41,241004,316636
57,120.00,238952,316236
58,105.22,234068,314968
59,82.46,232652,316016
60,81.51,232231,315712
61,89.38,233900,316784
62,112.28,234772,317588
63,95.73,232862,318508
64,140.52,256324,319728
65,115.79,240319,320156
66,13.91,234986,320568
67,74.36,237072,320624
68,106.03,239920,322156
69,118.10,240444,323188
70,144.92,258126,325744
71,120.18,250978,325832
72,114.04,243546,324824
73,99.14,240482,325116
74,109.73,242814,324736
75,105.22,241742,326304
76,80.83,243054,325976
77,142.98,285674,336224
78,113.91,257078,328208
79,107.76,247080,328832
80,75.44,245638,328316
81,112.07,247798,329472
82,33.91,245590,330064
83,79.49,246438,330100
84,142.11,260554,351032
85,114.78,272554,333208
86,108.47,252776,333124
87,89.57,252530,334180
88,63.48,250080,335052
89,75.86,252518,335244
90,112.17,254766,336896
