timestamp_s,cpu_pct,pss_kb,java_heap_kb
1,242.74,195683,262344
2,140.34,189310,268700
3,111.40,187270,270480
4,45.22,185898,270124
5,0.00,184884,270216
6,121.55,189298,272536
7,144.44,195099,293812
8,164.35,220247,275448
9,105.31,194393,275580
10,118.42,194599,276428
11,20.69,193305,277856
12,38.21,195457,278432
13,114.04,197485,278880
14,66.95,196383,281948
15,164.04,216553,282036
16,107.14,201061,282408
17,103.39,199826,283588
18,90.35,201977,284228
19,112.30,203928,285572
20,122.41,202921,287068
21,193.91,232881,294892
22,125.86,215879,290844
23,117.54,207729,290568
24,101.72,206259,290656
25,87.83,206909,291248
26,128.70,211089,292460
27,103.48,208817,294756
28,171.55,225013,295860
29,155.65,219969,297256
30,6.14,211897,296276
31,114.53,214489,298868
32,36.84,215881,299512
33,0.00,212879,299748
34,123.93,222015,303536
35,133.91,226251,304708
36,106.19,220709,303624
37,103.48,220939,304664
38,114.66,220711,306148
39,6.14,219199,306472
40,71.19,220039,305892
41,139.66,243663,311940
42,108.70,234087,310476
43,102.61,227766,308892
44,57.39,224843,308064
45,1.71,221337,308780
46,82.46,224243,309284
47,89.66,225023,309656
48,7.83,223075,310468
49,156.67,250946,313248
50,108.77,231375,311652
51,119.30,229599,312520
52,94.69,228509,314148
53,76.32,229755,313960
54,106.25,231731,317348
55,150.00,244159,318300
56,94.07,234927,316756
57,97.37,234411,317588
58,123.48,233807,317876
59,95.65,232679,318224
60,82.61,233863,319440
61,105.98,232611,320252
62,144.72,254623,323004
63,122.22,241583,323008
64,83.19,238103,324056
65,90.18,236453,325124
66,91.53,243683,325420
67,105.26,241231,329424
68,145.69,264471,329028
69,105.22,242429,327884
70,97.37,242761,327920
71,119.47,243689,328356
72,89.74,241891,329144
73,95.69,244345,331104
74,147.37,282731,332500
75,97.44,249313,330244
76,121.74,248809,331376
77,108.62,246128,332228
78,47.58,247980,332852
79,90.43,248876,334212
80,114.78,250536,341212
81,121.24,279498,338520
82,102.63,255556,337624
83,108.77,253648,338052
84,106.14,252212,339812
85,24.19,253906,340228
86,133.04,265570,350396
87,121.93,271026,343336
88,93.22,257886,341668
89,87.93,255742,341852
90,94.74,254960,342016
