timestamp_s,cpu_pct,pss_kb,java_heap_kb
1,327.83,196631,257072
2,81.58,177499,256428
3,39.67,173243,257084
4,93.91,173331,257336
5,68.42,174343,258468
6,18.33,173393,259368
7,33.62,174631,258476
8,69.57,174691,258756
9,30.09,173465,258440
10,35.29,174151,258808
11,55.17,173583,258300
12,64.04,174259,258252
13,19.49,173482,258084
14,44.35,174371,258096
15,21.37,173574,258112
16,43.48,174347,257612
17,64.96,173339,258524
18,17.95,174301,257780
19,23.48,173931,258020
20,63.16,173895,257424
21,47.41,174550,258804
22,19.17,173790,258544
23,58.62,174358,258760
24,54.78,173706,258460
25,28.93,174244,258728
26,31.90,173686,258212
27,78.95,174414,258232
28,26.32,173300,258416
29,31.36,174354,258332
30,16.52,173304,258656
31,28.21,174402,258592
32,56.52,173328,259236
33,40.35,172465,258532
34,17.54,171427,258864
35,50.86,172085,258280
36,50.43,172537,258696
37,23.53,171765,258360
38,48.25,172541,258752
39,54.78,171901,258200
40,38.66,172471,258660
41,25.86,171913,258248
42,61.21,172697,258576
43,33.63,171641,258684
44,32.79,172386,258524
45,27.43,171466,258512
46,23.97,172397,258592
47,47.83,171457,259284
48,46.02,172525,258436
49,21.14,172378,258592
50,32.14,171836,258260
51,62.61,172564,258876
52,22.50,171797,258680
53,33.91,172236,258992
54,51.30,171616,258640
55,54.31,172300,258680
56,15.45,171543,258536
57,38.60,172336,258236
58,53.91,171324,259016
59,27.35,172245,257976
60,40.87,172545,258720
61,21.49,171846,258796
62,35.34,172385,258768
63,56.14,171753,258480
64,46.09,172342,258840
65,18.85,171641,258424
66,57.89,172405,258856
67,38.79,171765,258620
68,28.93,172345,258140
69,37.07,171433,257940
70,68.97,172477,258100
71,22.50,171346,258600
72,35.09,172461,258648
73,50.88,171461,259420
74,25.00,172369,258736
75,50.88,171501,259796
76,25.00,172478,258860
77,19.17,172333,258884
78,46.22,171857,258380
79,43.97,172817,259072
80,22.31,172029,258652
81,44.83,172521,258592
82,53.51,171881,258024
83,33.88,172434,258848
84,25.86,171841,258320
85,67.54,172581,258544
86,31.90,171519,258516
87,19.67,172465,258436
88,40.52,172593,258708
89,23.48,171785,258364
90,59.65,172589,258540
