experiment_id,device,cohort,baseline_version_code,current_version_code,metric_id,screen_name,baseline_median,current_median,delta_pct,ground_truth_regression,detected,threshold,regression_type,intensity,run_duration_minutes,timestamp
e1_cpu_low,PerfX_Low,Low,1001,1002,cpuUsage,compose/cpu_load,6.2936127744510975,7.150126624221912,13.61,True,False,0.15,cpu,1,1,2026-05-30T16:02:04.374780
e1_cpu_med,PerfX_Low,Low,1003,1004,cpuUsage,compose/cpu_load,9.486166007905137,17.2,81.32,True,True,0.15,cpu,2,1,2026-05-30T16:04:28.436849
e1_cpu_high,PerfX_Low,Low,1005,1006,cpuUsage,compose/cpu_load,9.4,137.52495009980038,1363.03,True,True,0.15,cpu,3,1,2026-05-30T16:06:57.378760
e1_memory_low,PerfX_Low,Low,1011,1012,memoryUsage,compose/ram_load,72.8779296875,87.9931640625,20.74,True,True,0.15,memory,1,1,2026-05-30T16:09:17.947527
e1_memory_med,PerfX_Low,Low,1013,1014,memoryUsage,compose/ram_load,72.8583984375,152.23046875,108.94,True,True,0.15,memory,2,1,2026-05-30T16:11:39.851014
e1_memory_high,PerfX_Low,Low,1015,1016,memoryUsage,compose/ram_load,72.830078125,202.091796875,177.48,True,True,0.15,memory,3,1,2026-05-30T16:13:59.226200
e1_ui_low,PerfX_Low,Low,1021,1022,frameTime,compose/ui_responsiveness,16.667947933333338,25.832556450000006,54.98,True,True,0.15,ui,1,1,2026-05-30T16:16:19.832140
e1_ui_med,PerfX_Low,Low,1023,1024,frameTime,compose/ui_responsiveness,16.669056533333336,50.0008829,199.96,True,True,0.15,ui,2,1,2026-05-30T16:18:41.088560
e1_ui_high,PerfX_Low,Low,1025,1026,frameTime,compose/ui_responsiveness,16.66827846666667,100.0035032,499.96,True,True,0.15,ui,3,1,2026-05-30T16:21:00.782025
e2_control_1,PerfX_Low,Low,2001,2002,cpuUsage,compose/cpu_load,9.362549800796813,9.760956175298805,4.26,False,False,0.15,none,0,1,2026-05-30T16:23:59.380532
e2_control_2,PerfX_Low,Low,2003,2004,cpuUsage,compose/cpu_load,9.270216962524655,9.288537549407115,0.2,False,False,0.15,none,0,1,2026-05-30T16:26:59.300449
e2_control_3,PerfX_Low,Low,2005,2006,cpuUsage,compose/cpu_load,9.181636726546905,9.163346613545817,-0.2,False,True,0.15,none,0,1,2026-05-30T16:29:20.336045
e2_control_4,PerfX_Low,Low,2007,2008,cpuUsage,compose/cpu_load,8.946322067594433,9.362549800796813,4.65,False,False,0.15,none,0,1,2026-05-30T16:32:20.421024
e2_control_5,PerfX_Low,Low,2009,2010,cpuUsage,compose/cpu_load,9.645669291338582,9.780439121756487,1.4,False,False,0.15,none,0,1,2026-05-30T16:35:22.156824
e6_rep1_cpu_med,PerfX_Low,Low,6001,6002,cpuUsage,compose/cpu_load,9.504950495049505,13.438735177865613,41.39,True,True,0.15,cpu,2,1,2026-05-30T16:37:40.701167
e6_rep2_cpu_med,PerfX_Low,Low,6003,6004,cpuUsage,compose/cpu_load,9.362549800796813,22.22222222222222,137.35,True,True,0.15,cpu,2,1,2026-05-30T16:40:03.015855
e6_rep3_cpu_med,PerfX_Low,Low,6005,6006,cpuUsage,compose/cpu_load,8.964143426294822,14.54183266932271,62.22,True,True,0.15,cpu,2,1,2026-05-30T16:42:23.977222
e6_rep4_cpu_med,PerfX_Low,Low,6007,6008,cpuUsage,compose/cpu_load,9.2,15.936254980079681,73.22,True,True,0.15,cpu,2,1,2026-05-30T16:44:44.171358
e6_rep5_cpu_med,PerfX_Low,Low,6009,6010,cpuUsage,compose/cpu_load,9.74155069582505,12.375249500998004,27.04,True,True,0.15,cpu,2,1,2026-05-30T16:47:04.482298
`
