experiment_id,device,cohort,baseline_version_code,current_version_code,metric_id,screen_name,baseline_median,current_median,delta_pct,ground_truth_regression,detected,threshold,regression_type,intensity,run_duration_minutes,timestamp
e1_cpu_low,PerfX_Medium,Medium,1001,1002,cpuUsage,compose/cpu_load,8.764940239043826,9.760956175298805,11.36,True,False,0.15,cpu,1,1,2026-05-30T17:13:41.339487
e1_cpu_med,PerfX_Medium,Medium,1003,1004,cpuUsage,compose/cpu_load,3.792415169660679,5.158912943344081,36.03,True,True,0.15,cpu,2,1,2026-05-30T17:16:12.747744
e1_cpu_high,PerfX_Medium,Medium,1005,1006,cpuUsage,compose/cpu_load,9.980039920159681,132.76546906187625,1230.31,True,True,0.15,cpu,3,1,2026-05-30T17:20:27.981304
e1_memory_low,PerfX_Medium,Medium,1011,1012,memoryUsage,compose/ram_load,71.0400390625,86.185546875,21.32,True,True,0.15,memory,1,1,2026-05-30T17:22:54.141722
e1_memory_med,PerfX_Medium,Medium,1013,1014,memoryUsage,compose/ram_load,71.123046875,150.66259765625,111.83,True,True,0.15,memory,2,1,2026-05-30T17:25:18.206777
e1_memory_high,PerfX_Medium,Medium,1015,1016,memoryUsage,compose/ram_load,71.625,200.41015625,179.8,True,True,0.15,memory,3,1,2026-05-30T17:27:40.706331
e1_ui_low,PerfX_Medium,Medium,1021,1022,frameTime,compose/ui_responsiveness,16.666666000000006,19.9999992,20.0,True,True,0.15,ui,1,1,2026-05-30T17:30:04.212981
e1_ui_med,PerfX_Medium,Medium,1023,1024,frameTime,compose/ui_responsiveness,16.666666000000006,45.45454363636364,172.73,True,True,0.15,ui,2,1,2026-05-30T17:32:35.690596
e1_ui_high,PerfX_Medium,Medium,1025,1026,frameTime,compose/ui_responsiveness,16.666666000000006,99.999996,500.0,True,True,0.15,ui,3,1,2026-05-30T17:35:02.829522
e2_control_1,PerfX_Medium,Medium,2001,2002,cpuUsage,compose/cpu_load,10.327797720011045,10.337972166998012,0.1,False,False,0.15,none,0,1,2026-05-30T17:38:03.324363
e2_control_2,PerfX_Medium,Medium,2003,2004,cpuUsage,compose/cpu_load,10.495090658134137,10.179640718562874,-3.01,False,False,0.15,none,0,1,2026-05-30T17:41:04.488376
e2_control_3,PerfX_Medium,Medium,2005,2006,cpuUsage,compose/cpu_load,10.337972166998012,9.980039920159681,-3.46,False,False,0.15,none,0,1,2026-05-30T17:44:06.712247
e2_control_4,PerfX_Medium,Medium,2007,2008,cpuUsage,compose/cpu_load,10.179640718562874,9.6,-5.69,False,False,0.15,none,0,1,2026-05-30T17:47:18.083287
e2_control_5,PerfX_Medium,Medium,2009,2010,cpuUsage,compose/cpu_load,10.337972166998012,9.780439121756487,-5.39,False,False,0.15,none,0,1,2026-05-30T17:50:25.056686
e6_rep1_cpu_med,PerfX_Medium,Medium,6001,6002,cpuUsage,compose/cpu_load,10.099009900990099,17.02970297029703,68.63,True,True,0.15,cpu,2,1,2026-05-30T17:52:51.170215
e6_rep2_cpu_med,PerfX_Medium,Medium,6003,6004,cpuUsage,compose/cpu_load,10.557768924302788,19.465219758112234,84.37,True,True,0.15,cpu,2,1,2026-05-30T17:55:19.837115
e6_rep3_cpu_med,PerfX_Medium,Medium,6005,6006,cpuUsage,compose/cpu_load,12.102422374186538,14.667318905496092,21.19,True,True,0.15,cpu,2,1,2026-05-30T17:58:20.159386
e6_rep4_cpu_med,PerfX_Medium,Medium,6007,6008,cpuUsage,compose/cpu_load,12.315185823665534,43.31476323119777,251.72,True,True,0.15,cpu,2,1,2026-05-30T18:01:22.152554
e6_rep5_cpu_med,PerfX_Medium,Medium,6009,6010,cpuUsage,compose/cpu_load,16.16766467065868,20.19771851189566,24.93,True,True,0.15,cpu,2,1,2026-05-30T18:04:52.338406
