experiment_id,device,cohort,baseline_version_code,current_version_code,metric_id,screen_name,baseline_median,current_median,delta_pct,ground_truth_regression,detected,threshold,regression_type,intensity,run_duration_minutes,timestamp
e1_cpu_low,PerfX_High,High,1001,1002,cpuUsage,compose/cpu_load,10.218097356455328,12.974051896207584,26.97,True,True,0.15,cpu,1,1,2026-05-30T18:14:26.639286
e1_cpu_med,PerfX_High,High,1003,1004,cpuUsage,compose/cpu_load,10.179640718562874,20.238095238095237,98.81,True,True,0.15,cpu,2,1,2026-05-30T18:17:01.445568
e1_cpu_high,PerfX_High,High,1005,1006,cpuUsage,compose/cpu_load,10.557768924302788,170.05988023952096,1510.76,True,True,0.15,cpu,3,1,2026-05-30T18:19:41.877353
e1_memory_low,PerfX_High,High,1011,1012,memoryUsage,compose/ram_load,68.9423828125,84.1298828125,22.03,True,True,0.15,memory,1,1,2026-05-30T18:22:25.344427
e1_memory_med,PerfX_High,High,1013,1014,memoryUsage,compose/ram_load,68.9560546875,148.90234375,115.94,True,True,0.15,memory,2,1,2026-05-30T18:24:54.807150
e1_memory_high,PerfX_High,High,1015,1016,memoryUsage,compose/ram_load,69.09375,198.3544921875,187.08,True,True,0.15,memory,3,1,2026-05-30T18:27:24.276278
e1_ui_low,PerfX_High,High,1021,1022,frameTime,compose/ui_responsiveness,19.230768461538464,29.41176352941176,52.94,True,True,0.15,ui,1,1,2026-05-30T18:30:06.845294
e1_ui_med,PerfX_High,High,1023,1024,frameTime,compose/ui_responsiveness,17.261904071428578,51.666664600000004,199.31,True,True,0.15,ui,2,1,2026-05-30T18:32:42.126708
e1_ui_high,PerfX_High,High,1025,1026,frameTime,compose/ui_responsiveness,17.272926998677256,106.66666239999999,517.54,True,True,0.15,ui,3,1,2026-05-30T18:35:14.127382
e2_control_1,PerfX_High,High,2001,2002,cpuUsage,compose/cpu_load,10.433070866141732,11.099258176560266,6.39,False,False,0.15,none,0,1,2026-05-30T18:38:28.175770
e2_control_2,PerfX_High,High,2003,2004,cpuUsage,compose/cpu_load,11.984282907662083,14.313725490196077,19.44,False,True,0.15,none,0,1,2026-05-30T18:41:06.176806
e2_control_3,PerfX_High,High,2005,2006,cpuUsage,compose/cpu_load,12.015691936285531,10.474308300395258,-12.83,False,False,0.15,none,0,1,2026-05-30T18:44:58.310082
e2_control_4,PerfX_High,High,2007,2008,cpuUsage,compose/cpu_load,11.683168316831685,11.067193675889328,-5.27,False,False,0.15,none,0,1,2026-05-30T18:48:34.577735
e2_control_5,PerfX_High,High,2009,2010,cpuUsage,compose/cpu_load,12.561927436069311,12.50004920969234,-0.49,False,True,0.15,none,0,1,2026-05-30T18:51:23.360187
e6_rep1_cpu_med,PerfX_High,High,6001,6002,cpuUsage,compose/cpu_load,14.498639106938583,19.147785059378606,32.07,True,True,0.15,cpu,2,1,2026-05-30T18:54:06.575085
e6_rep2_cpu_med,PerfX_High,High,6003,6004,cpuUsage,compose/cpu_load,11.439842209072978,26.21359223300971,129.14,True,True,0.15,cpu,2,1,2026-05-30T18:57:04.502515
e6_rep3_cpu_med,PerfX_High,High,6005,6006,cpuUsage,compose/cpu_load,10.327797720011045,31.80491606428577,207.95,True,True,0.15,cpu,2,1,2026-05-30T19:00:00.441946
e6_rep4_cpu_med,PerfX_High,High,6007,6008,cpuUsage,compose/cpu_load,10.474308300395258,16.367265469061877,56.26,True,True,0.15,cpu,2,1,2026-05-30T19:02:33.364960
e6_rep5_cpu_med,PerfX_High,High,6009,6010,cpuUsage,compose/cpu_load,10.218025487486564,19.12350597609562,87.15,True,True,0.15,cpu,2,1,2026-05-30T19:05:00.777868
