experiment_id,device,cohort,metric_id,regression_type,intensity,baseline_median,current_median,delta_pct,detected_rate,tp,fn,n_runs
e1_cpu_high,PerfX_High,High,cpuUsage,cpu,3.0,10.558,170.06,1510.76,1.0,1,0,1
e1_cpu_high,PerfX_Low,Low,cpuUsage,cpu,3.0,9.4,137.525,1363.03,1.0,1,0,1
e1_cpu_high,PerfX_Medium,Medium,cpuUsage,cpu,3.0,9.98,132.765,1230.31,1.0,1,0,1
e1_cpu_low,PerfX_High,High,cpuUsage,cpu,1.0,10.218,12.974,26.97,1.0,1,0,1
e1_cpu_low,PerfX_Low,Low,cpuUsage,cpu,1.0,6.294,7.15,13.61,0.0,0,1,1
e1_cpu_low,PerfX_Medium,Medium,cpuUsage,cpu,1.0,8.308,9.548,15.052,0.5,2,2,4
e1_cpu_med,PerfX_High,High,cpuUsage,cpu,2.0,10.18,20.238,98.81,1.0,1,0,1
e1_cpu_med,PerfX_Low,Low,cpuUsage,cpu,2.0,9.486,17.2,81.32,1.0,1,0,1
e1_cpu_med,PerfX_Medium,Medium,cpuUsage,cpu,2.0,3.792,5.159,36.03,1.0,1,0,1
e1_memory_high,PerfX_High,High,memoryUsage,memory,3.0,69.094,198.354,187.08,1.0,1,0,1
e1_memory_high,PerfX_Low,Low,memoryUsage,memory,3.0,72.83,202.092,177.48,1.0,1,0,1
e1_memory_high,PerfX_Medium,Medium,memoryUsage,memory,3.0,71.625,200.41,179.8,1.0,1,0,1
e1_memory_low,PerfX_High,High,memoryUsage,memory,1.0,68.942,84.13,22.03,1.0,1,0,1
e1_memory_low,PerfX_Low,Low,memoryUsage,memory,1.0,72.878,87.993,20.74,1.0,1,0,1
e1_memory_low,PerfX_Medium,Medium,memoryUsage,memory,1.0,71.04,86.186,21.32,1.0,1,0,1
e1_memory_med,PerfX_High,High,memoryUsage,memory,2.0,68.956,148.902,115.94,1.0,1,0,1
e1_memory_med,PerfX_Low,Low,memoryUsage,memory,2.0,72.858,152.23,108.94,1.0,1,0,1
e1_memory_med,PerfX_Medium,Medium,memoryUsage,memory,2.0,71.123,150.663,111.83,1.0,1,0,1
e1_ui_high,PerfX_High,High,frameTime,ui,3.0,17.273,106.667,517.54,1.0,1,0,1
e1_ui_high,PerfX_Low,Low,frameTime,ui,3.0,16.668,100.004,499.96,1.0,1,0,1
e1_ui_high,PerfX_Medium,Medium,frameTime,ui,3.0,16.667,100.0,500.0,1.0,1,0,1
e1_ui_low,PerfX_High,High,frameTime,ui,1.0,19.231,29.412,52.94,1.0,1,0,1
e1_ui_low,PerfX_Low,Low,frameTime,ui,1.0,16.668,25.833,54.98,1.0,1,0,1
e1_ui_low,PerfX_Medium,Medium,frameTime,ui,1.0,16.667,20.0,20.0,1.0,1,0,1
e1_ui_med,PerfX_High,High,frameTime,ui,2.0,17.262,51.667,199.31,1.0,1,0,1
e1_ui_med,PerfX_Low,Low,frameTime,ui,2.0,16.669,50.001,199.96,1.0,1,0,1
e1_ui_med,PerfX_Medium,Medium,frameTime,ui,2.0,16.667,45.455,172.73,1.0,1,0,1
