exp,cohort,metric,baseline_p95,current_p95,delta_pct,detected
e1_cpu_high,High,cpuUsage,38.827,286.307,637.4,True
e1_cpu_high,Low,cpuUsage,23.097,196.2,749.48,True
e1_cpu_high,Medium,cpuUsage,18.62,284.571,1428.34,True
e1_cpu_low,High,cpuUsage,41.67,42.989,3.17,False
e1_cpu_low,Low,cpuUsage,12.778,18.034,41.13,True
e1_cpu_low,Medium,cpuUsage,25.002,25.884,3.53,False
e1_cpu_med,High,cpuUsage,24.965,101.98,308.49,True
e1_cpu_med,Low,cpuUsage,20.075,103.114,413.64,True
e1_cpu_med,Medium,cpuUsage,11.163,105.024,840.81,True
e1_memory_high,High,memoryUsage,72.394,199.35,175.37,True
e1_memory_high,Low,memoryUsage,73.95,203.335,174.96,True
e1_memory_high,Medium,memoryUsage,72.7,201.994,177.85,True
e1_memory_low,High,memoryUsage,72.25,87.531,21.15,True
e1_memory_low,Low,memoryUsage,73.875,88.775,20.17,True
e1_memory_low,Medium,memoryUsage,72.683,87.653,20.6,True
e1_memory_med,High,memoryUsage,72.13,149.294,106.98,True
e1_memory_med,Low,memoryUsage,73.926,153.871,108.14,True
e1_memory_med,Medium,memoryUsage,72.663,152.252,109.53,True
e1_ui_high,High,frameTime,46.839,122.583,161.71,True
e1_ui_high,Low,frameTime,20.407,103.345,406.41,True
e1_ui_high,Medium,frameTime,19.105,106.667,458.32,True
e1_ui_low,High,frameTime,43.968,57.397,30.54,True
e1_ui_low,Low,frameTime,26.316,30.811,17.08,True
e1_ui_low,Medium,frameTime,18.036,32.31,79.14,True
e1_ui_med,High,frameTime,35.326,79.583,125.28,True
e1_ui_med,Low,frameTime,22.952,51.852,125.91,True
e1_ui_med,Medium,frameTime,19.423,50.0,157.43,True
