timestamp_s,cpu_pct,pss_kb,java_heap_kb
1,97.22,152798,235128
2,10.38,125977,234812
3,13.89,125272,234496
4,18.35,125751,235640
5,11.32,125067,235132
6,18.69,125587,235608
7,5.61,125075,235388
8,26.42,125880,236360
9,175.47,132449,238960
10,26.42,129113,238412
11,8.33,127797,238692
12,30.48,128129,238696
13,1.87,127353,238752
14,31.43,128477,238876
15,0.00,127469,238828
16,41.90,129333,239360
17,31.13,128981,239456
18,46.73,129801,239688
19,29.25,129021,240020
20,38.68,129806,241576
21,35.51,131622,241352
22,31.78,129306,241420
23,175.70,140630,242384
24,52.34,136995,243840
25,40.57,134099,244084
26,44.34,133447,244316
27,11.21,132027,244240
28,22.64,132383,244400
29,26.67,131799,244312
30,39.62,131839,243052
31,32.08,131195,242948
32,36.79,131575,243408
33,24.53,130723,243352
34,66.97,139031,248664
35,73.58,147135,245252
36,57.55,133735,245012
37,6.25,131959,244968
38,15.89,131799,244756
39,10.38,133299,246936
40,8.57,133159,246808
41,0.00,133031,244812
42,22.43,133017,245580
43,3.70,131769,245140
44,20.00,132437,245552
45,0.93,131589,245420
46,27.62,132797,245408
47,0.00,131689,245256
48,25.47,133761,245520
49,90.65,136969,247852
50,59.43,141414,246268
51,30.19,135890,246292
52,41.51,137998,246408
53,13.21,134170,246524
54,29.63,134726,246396
55,2.80,133682,246756
56,42.45,136570,246696
57,30.84,134818,246932
58,26.85,135090,246624
59,28.30,134906,246808
60,28.70,134746,246740
61,23.81,134698,246744
62,56.88,137616,248512
63,79.44,141000,248796
64,41.51,139192,248700
65,29.91,137392,248456
66,36.79,137148,248044
67,24.53,136444,248080
68,29.25,137100,248188
69,25.47,136420,248300
70,36.79,137420,248452
71,29.25,136916,248640
72,29.25,136788,248512
73,33.96,140348,250844
74,96.23,143544,250372
75,49.06,145304,250336
76,17.76,138284,249684
77,22.64,137640,249804
78,4.63,136920,249536
79,17.92,136852,249856
80,2.83,137184,249988
81,0.00,136572,249808
82,22.43,137228,249848
83,0.00,136500,249912
84,22.43,137596,249884
85,0.00,136680,249976
86,14.95,137300,249972
87,4.72,136888,250300
88,82.24,143704,256344
89,32.71,151564,251716
90,25.23,139880,251356
