timestamp_s,cpu_pct,pss_kb,java_heap_kb
1,86.92,138982,237592
2,6.67,134329,239996
3,30.19,134703,241512
4,17.92,134957,241232
5,0.00,133314,241796
6,78.90,143102,245464
7,50.00,141400,243876
8,62.26,141528,246068
9,0.00,138579,245624
10,19.05,137970,246668
11,21.70,139378,246304
12,0.00,137860,246380
13,55.24,141622,246696
14,44.34,139930,246600
15,58.72,148458,249668
16,50.94,161977,251120
17,32.38,145253,251476
18,52.83,145569,251124
19,45.28,143783,251288
20,52.38,146409,251880
21,53.33,145581,251972
22,59.05,147869,252896
23,46.23,146365,252784
24,3.77,145009,252760
25,19.81,144774,253088
26,81.90,155557,255524
27,50.94,152564,253824
28,57.14,151013,253860
29,2.83,147129,253988
30,30.48,145877,253272
31,7.62,146405,253336
32,8.49,145927,253856
33,50.00,148021,254100
34,45.71,147049,254224
35,62.96,158633,257588
36,58.88,159345,257132
37,71.43,154793,257584
38,48.11,151029,257628
39,52.34,150384,258100
40,51.92,152965,258732
41,48.11,151005,258656
42,54.29,153621,258616
43,48.57,152165,258848
44,56.19,154717,261072
45,62.26,157385,261292
46,54.29,155524,261236
47,33.64,154577,260780
48,0.00,151392,260896
49,0.00,150994,261228
50,50.48,154989,261248
51,42.86,152945,261336
52,54.29,155977,262676
53,46.73,153861,263144
54,54.55,154922,264292
55,73.39,160801,264664
56,51.43,156375,267492
57,18.69,159529,264104
58,0.00,154297,265272
59,44.34,158205,265160
60,0.93,156265,265024
61,29.52,156887,265760
62,43.81,157493,265540
63,40.95,156842,265404
64,70.48,160573,266780
65,50.94,163909,267548
66,52.83,163149,267076
67,43.81,159373,266804
68,57.14,162225,267600
69,0.93,159077,267444
70,21.70,159469,267908
71,18.87,160357,267980
72,0.95,158239,268228
73,0.00,159157,268232
74,56.73,164489,270444
75,57.14,168769,269712
76,71.30,165717,270428
77,44.34,162169,269912
78,51.43,161700,270044
79,46.67,162241,270020
80,46.67,161294,270112
81,24.30,162465,270428
82,2.80,161657,270236
83,53.77,165803,276256
84,58.10,180445,271540
85,52.83,166398,271996
86,44.34,164505,271908
87,54.55,164629,271820
88,15.09,163613,271468
89,0.00,161597,272452
90,51.43,165834,272804
