timestamp_s,cpu_pct,pss_kb,java_heap_kb
1,89.62,140807,239092
2,10.58,136282,242036
3,37.14,137447,242812
4,24.30,137038,243520
5,7.69,135233,243892
6,87.85,144853,245792
7,9.43,140181,245616
8,60.95,143193,248356
9,6.54,142097,248244
10,25.71,140720,248756
11,18.87,141478,249756
12,6.73,141058,249376
13,55.24,144705,249176
14,58.49,144641,249436
15,67.59,162380,252732
16,18.10,149272,250976
17,65.09,154143,252844
18,47.12,147751,253040
19,54.29,149538,254300
20,47.62,149447,254140
21,46.23,148453,255108
22,36.79,151314,255556
23,7.55,148783,255320
24,9.52,150034,256240
25,61.47,156226,269852
26,59.05,164714,258264
27,56.48,154165,256828
28,18.10,151422,256664
29,21.70,149956,256372
30,29.91,150550,255868
31,5.66,149186,255828
32,55.24,153406,257364
33,44.76,150746,256816
34,53.77,152670,258584
35,72.64,158862,262052
36,57.01,160008,260536
37,50.94,156278,260280
38,47.66,153083,260424
39,58.10,157210,261284
40,46.67,156606,261696
41,57.14,158062,262088
42,50.00,156722,262308
43,52.83,155466,262440
44,75.47,161142,263408
45,57.01,166625,264016
46,31.13,159610,263384
47,8.65,157174,264332
48,6.60,156526,264680
49,53.57,158998,264908
50,59.81,158261,265012
51,54.29,157890,265116
52,50.48,158261,265380
53,52.38,158633,265404
54,77.14,165905,266892
55,57.55,168384,266888
56,55.66,165297,266640
57,44.34,160545,267708
58,60.00,163089,267620
59,35.19,160054,267276
60,25.47,160090,268064
61,45.71,160878,267632
62,52.38,159523,267864
63,85.98,163773,268780
64,51.89,165097,269272
65,61.32,168738,270528
66,50.00,164562,269532
67,57.55,165618,269880
68,9.52,163098,270388
69,20.37,162657,270508
70,35.24,163258,272128
71,8.49,162872,271032
72,5.71,162447,271400
73,52.34,168157,272396
74,72.38,170311,272192
75,55.14,166212,273672
76,51.43,167355,273024
77,46.67,163820,272652
78,49.52,166871,273040
79,44.76,164783,273180
80,59.81,167551,273196
81,9.35,165747,273612
82,28.30,164605,273744
83,76.19,175339,275308
84,51.89,168119,275660
85,50.48,170095,275368
86,44.76,167207,277568
87,57.94,171615,276788
88,46.73,168107,276148
89,59.43,170240,277452
90,47.66,168787,276952
