timestamp_s,cpu_pct,pss_kb,java_heap_kb
1,270.18,206338,264104
2,118.64,179124,264220
3,121.74,180597,267092
4,122.41,181649,269976
5,25.81,180038,270508
6,146.09,196102,276348
7,119.13,190945,275128
8,113.04,187371,275452
9,36.52,186459,276092
10,73.21,187549,277676
11,0.00,187258,278832
12,92.98,194159,284408
13,151.33,217191,282684
14,112.07,193711,282492
15,99.13,195279,283108
16,82.46,193579,282960
17,111.50,197789,285736
18,114.66,198120,288372
19,151.24,216389,290692
20,122.41,205304,291712
21,115.04,203169,293524
22,96.58,202546,293696
23,94.74,204649,294564
24,106.14,204844,299360
25,126.50,240248,297340
26,114.66,211061,297372
27,113.68,209808,298340
28,44.83,207629,298576
29,41.38,208284,299144
30,116.67,218305,302472
31,52.59,220857,299984
32,102.65,213616,301332
33,1.77,210683,301656
34,33.62,211773,301860
35,105.93,214185,302796
36,108.70,213927,303228
37,148.31,231952,307480
38,118.97,225512,306484
39,54.78,217905,308028
40,22.95,216993,307412
41,28.45,217569,308268
42,54.78,218771,308976
43,119.49,230169,311064
44,99.12,222481,310720
45,70.43,221889,312440
46,101.75,221733,311904
47,82.14,223117,313084
48,80.51,221657,313460
49,125.44,231636,316684
50,123.89,237552,316220
51,5.74,225857,315916
52,90.00,227500,316892
53,116.96,228276,318232
54,86.55,227469,318528
55,138.26,247816,321564
56,80.70,235832,321528
57,87.93,231601,322740
58,60.34,233491,323500
59,87.93,234328,324680
60,11.86,233665,325312
61,161.67,252524,326212
62,35.83,238711,327076
63,77.78,235908,327208
64,94.74,237244,327984
65,87.83,238276,329528
66,106.09,238035,329796
67,137.82,253808,331684
68,117.54,254894,331344
69,119.83,243504,333072
70,79.66,241835,332444
71,61.98,243068,333080
72,53.91,241340,334836
73,139.47,261019,337568
74,93.16,248626,335952
75,99.15,246030,336016
76,91.53,244234,335956
77,98.29,246301,336776
78,116.07,246569,337924
79,157.02,280348,339996
80,100.00,251068,339972
81,74.59,250361,340816
82,104.24,250018,341940
83,84.87,252309,342820
84,117.39,260797,350200
85,125.00,288572,345172
86,11.02,253018,345296
87,69.49,255461,346992
88,108.55,257665,347572
89,103.45,256219,347696
90,129.57,278544,352096
