timestamp_s,cpu_pct,pss_kb
1777997768,338.26,207819
1777997769,130.36,183187
1777997770,169.91,186933
1777997771,125.89,188325
1777997772,118.80,187209
1777997773,85.84,188344
1777997774,122.12,190664
1777997775,53.39,189812
1777997776,62.83,191752
1777997777,84.96,192969
1777997778,184.35,208787
1777997779,141.96,202435
1777997780,130.09,201887
1777997781,100.87,200859
1777997782,138.05,206047
1777997783,104.39,202815
1777997784,148.65,208625
1777997785,150.00,217165
1777997786,112.93,211035
1777997787,63.96,208911
1777997788,93.97,209119
1777997789,105.26,211091
1777997790,68.14,210627
1777997791,157.76,227901
1777997792,149.11,231671
1777997793,129.20,229135
1777997794,22.13,214067
1777997795,111.86,217999
1777997796,117.70,219101
1777997797,92.31,218855
1777997798,150.00,233967
1777997799,110.43,231427
1777997800,107.08,222912
1777997801,78.99,221460
1777997802,93.86,224110
1777997803,80.53,225263
1777997804,35.34,228565
1777997805,121.05,242145
1777997806,108.04,248817
1777997807,100.00,232381
1777997808,114.91,232317
1777997809,67.83,231193
1777997810,85.71,233681
1777997811,103.54,237427
1777997812,95.69,262294
1777997813,55.93,237748
1777997814,113.27,239126
1777997815,26.09,236942
1777997816,77.19,239646
1777997817,23.68,238066
1777997818,104.50,242918
1777997819,138.39,252870
1777997820,108.62,244398
1777997821,110.53,246186
1777997822,113.51,247094
1777997823,93.10,247418
1777997824,140.71,265614
1777997825,129.20,263420
1777997826,65.55,250702
1777997827,109.73,250738
