timestamp_s,cpu_pct,pss_kb,java_heap_kb
1,262.61,0,48152
2,114.41,0,20124
3,117.39,0,19296
4,108.85,0,18260
5,99.12,0,18324
6,138.26,0,27660
7,107.96,0,27220
8,71.79,0,19376
9,61.61,0,18940
10,82.30,0,18308
11,114.91,0,19580
12,91.89,0,18296
13,162.50,0,38180
14,103.51,0,23492
15,79.67,0,20600
16,85.96,0,18908
17,0.00,0,17524
18,61.61,0,18392
19,22.41,0,21000
20,129.46,0,24548
21,86.21,0,23544
22,106.78,0,24316
23,100.00,0,20664
24,82.14,0,18952
25,100.88,0,21528
26,93.81,0,19336
27,80.87,0,19928
28,140.87,0,26516
29,116.81,0,39268
30,116.96,0,24524
31,105.26,0,21516
32,54.87,0,19360
33,112.39,0,21868
34,75.22,0,19032
35,91.96,0,20992
36,120.87,0,35928
37,104.46,0,22580
38,48.21,0,20096
39,76.32,0,21972
40,120.35,0,22588
41,83.62,0,19796
42,142.48,0,29096
43,63.16,0,22800
44,87.72,0,24616
45,116.67,0,22764
46,3.54,0,18864
47,97.41,0,22040
48,59.65,0,20744
49,170.18,0,32804
50,93.04,0,22840
51,0.88,0,19784
52,91.96,0,22244
53,44.35,0,21436
54,102.65,0,21948
55,99.12,0,21396
56,150.88,0,38948
57,113.16,0,25180
58,83.19,0,23092
59,38.26,0,21412
60,71.05,0,20592
61,69.30,0,21472
62,112.39,0,30512
63,107.96,0,31292
64,56.69,0,24936
65,102.54,0,23300
66,100.00,0,22532
67,69.83,0,21312
68,61.40,0,20764
69,146.55,0,38164
70,87.93,0,25132
71,81.36,0,22608
72,101.71,0,23420
73,108.70,0,23736
74,77.59,0,21016
75,156.90,0,40500
76,113.04,0,34052
77,71.43,0,22684
78,119.49,0,23632
79,29.06,0,21384
80,78.15,0,22360
81,107.69,0,26612
82,131.67,0,40592
83,55.64,0,23988
84,19.01,0,21132
85,49.12,0,21772
86,86.73,0,22584
87,8.70,0,20596
88,147.32,0,41836
89,45.22,0,23876
90,107.89,0,30304
