regression_type,intensity,metric_id,screen_name,baseline_secs,current_secs,baseline_samples,current_samples,baseline_p95,current_p95,degradation_pct,p_value,candidate,confirmed,expected_regression,outcome,detection_latency_secs,note
cpu,1,cpuUsage,compose/cpu_load,40,30,59,38,19.159,105.029,448.2,0.0,True,True,True,TP,15,
cpu,2,cpuUsage,compose/cpu_load,40,30,59,40,15.648,55.407,254.08,0.0,True,True,True,TP,15,
cpu,3,cpuUsage,compose/cpu_load,40,30,60,40,18.546,92.648,399.57,0.0,True,True,True,TP,15,
memory,1,memoryUsage,compose/ram_load,40,30,53,38,70.508,69.838,-0.95,,False,False,True,FN,,
memory,2,memoryUsage,compose/ram_load,40,30,55,37,70.59,70.509,-0.12,,False,False,True,FN,,
memory,3,memoryUsage,compose/ram_load,40,30,56,38,70.781,71.164,0.54,,False,False,True,FN,,
ui,1,frameTime,compose/ui_responsiveness,40,30,60,40,17.305,20.868,20.59,0.0,True,True,True,TP,15,
ui,2,frameTime,compose/ui_responsiveness,40,30,59,40,16.667,50.0,200.0,0.0,True,True,True,TP,15,
ui,3,frameTime,compose/ui_responsiveness,40,30,60,39,16.695,107.0,540.9,0.0,True,True,True,TP,15,
control,0,cpuUsage,compose/cpu_load,40,30,59,40,22.092,15.92,-27.94,,False,False,False,TN,,
control,0,cpuUsage,compose/cpu_load,40,30,59,40,10.52,14.997,42.56,1e-05,True,True,False,FP,,
control,0,cpuUsage,compose/cpu_load,40,30,59,40,20.202,16.198,-19.82,,False,False,False,TN,,
